,Node 1,,,,Node 2,,,,Node 3,,,,Node 4,,,,Node 5,,,,Node 6,,,,Node 7,,,,Node 8,,,,Node 9,,,
Time (s),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts)
1306.92601,23.83,49.69,100391,0.0032,23.23,53.17,100400,0,22.96,50.87,100385,0,23.5,47.24,100367,0,24.47,51.35,100292,0,23.47,61.8,100344,0.0071,23.7,50.55,100359,0.0036,22.92,51.27,100328,0,22.91,56.13,100282,0
1317.04199,23.83,49.81,100396,0.0032,23.22,53.09,100400,0,22.95,50.75,100392,0,23.49,47.03,100370,0,24.46,51.46,100297,0,23.47,61.84,100348,0,23.71,50.65,100358,0,22.92,51.42,100328,0,22.91,56.17,100286,0
1327.15797,23.82,49.77,100391,0.0032,23.22,53.15,100404,0,22.95,50.79,100388,0,23.5,47.22,100369,0,24.44,51.38,100292,0,23.47,61.82,100345,0,23.71,50.61,100355,0,22.92,51.37,100327,0,22.91,56.14,100282,0
1337.27312,23.82,49.81,100391,0.0032,23.22,53.23,100403,0,22.95,50.81,100387,0,23.49,46.96,100369,0,24.44,51.38,100292,0,23.47,61.79,100342,0,23.71,50.55,100358,0.0036,22.92,51.35,100328,0,22.91,56.14,100284,0
1347.38898,23.82,49.83,100393,0,23.22,53.17,100401,0,22.95,50.75,100387,0,23.49,46.95,100370,0,24.43,51.4,100293,0,23.47,61.81,100345,0.0071,23.71,50.57,100357,0.0143,22.92,51.27,100329,0,22.91,56.16,100284,0
1357.50508,23.81,49.78,100390,0.0032,23.22,53.12,100401,0,22.96,50.72,100386,0,23.49,47.09,100368,0,24.43,51.28,100292,0,23.48,61.84,100343,0.0106,23.71,50.57,100356,0.0036,22.92,51.58,100328,0,22.91,56.12,100286,0
1367.62094,23.81,49.78,100390,0,23.22,53.16,100401,0,22.95,50.82,100385,0,23.49,47.04,100369,0,24.41,51.39,100296,0,23.47,61.82,100341,0,23.71,50.58,100357,0.0036,22.91,51.48,100330,0,22.91,56.11,100284,0
1377.73704,23.8,49.92,100393,0.0032,23.22,53.22,100403,0,22.95,50.79,100389,0,23.48,47.17,100372,0,24.41,51.29,100297,0,23.47,61.73,100344,0,23.7,50.51,100360,0.0036,22.92,51.21,100332,0,22.91,56.12,100288,0
1387.85219,23.8,49.68,100394,0,23.22,53.2,100404,0,22.95,50.79,100389,0,23.49,47.28,100374,0,24.4,51.31,100296,0,23.47,61.77,100347,0,23.71,50.67,100362,0.0036,22.91,51.26,100331,0,22.92,56.09,100290,0
1397.96805,23.8,49.57,100392,0.0032,23.22,53.25,100399,0,22.95,50.71,100387,0,23.48,47,100369,0,24.39,51.36,100299,0,23.47,61.8,100344,0.0071,23.71,50.62,100359,0,22.91,51.27,100330,0,22.91,56.12,100284,0
1408.08391,23.79,49.77,100391,0,23.22,53.14,100399,0,22.95,50.74,100389,0,23.48,46.95,100369,0,24.38,51.33,100295,0,23.47,61.77,100342,0,23.71,50.56,100357,0.0036,22.91,51.35,100326,0,22.9,56.14,100282,0
1418.20096,23.8,49.77,100391,0,23.22,53.12,100401,0,22.96,50.79,100385,0,23.47,47.14,100368,0,24.38,51.43,100294,0,23.47,61.76,100341,0,23.71,50.55,100359,0.0143,22.91,51.65,100328,0,22.91,56.17,100284,0
1428.31587,23.79,49.62,100389,0,23.22,53.18,100400,0,22.95,50.83,100384,0,23.47,46.93,100368,0,24.37,51.29,100293,0,23.46,61.85,100342,0,23.71,50.58,100358,0,22.92,51.16,100329,0,22.91,56.12,100285,0
1438.43197,23.78,49.68,100394,0.0032,23.22,53.14,100401,0,22.95,50.8,100387,0,23.47,47.19,100371,0,24.36,51.33,100295,0,23.47,61.79,100346,0.0106,23.71,50.64,100359,0.0036,22.91,51.03,100334,0,22.9,56.13,100285,0
1448.54793,23.78,49.83,100391,0.0032,23.22,53.21,100400,0,22.95,50.79,100389,0,23.47,46.94,100373,0,24.35,51.35,100294,0,23.46,61.79,100340,0.0106,23.71,50.63,100355,0.0036,22.91,51.37,100329,0,22.91,56.12,100284,0
1458.66394,23.78,49.66,100390,0.0032,23.21,53.2,100398,0,22.95,50.87,100384,0,23.47,47.05,100364,0,24.35,51.38,100292,0,23.47,61.82,100342,0,23.71,50.57,100355,0.0143,22.91,51.41,100328,0,22.9,56.16,100286,0
1468.77899,23.77,49.79,100391,0.0032,23.22,53.23,100402,0,22.95,50.83,100388,0,23.46,46.92,100371,0,24.33,51.38,100297,0,23.47,61.8,100345,0,23.71,50.52,100361,0.0143,22.91,50.89,100329,0,22.91,56.13,100292,0
1478.89494,23.77,49.8,100396,0.0032,23.22,53.14,100403,0,22.95,50.79,100391,0,23.46,47,100374,0,24.33,51.39,100292,0,23.47,61.85,100348,0,23.71,50.54,100357,0.0143,22.91,51.27,100327,0,22.9,56.12,100283,0
1489.01104,23.76,49.73,100390,0.0032,23.22,53.14,100400,0,22.95,50.8,100387,0,23.46,47.02,100368,0,24.32,51.42,100290,0,23.47,61.82,100341,0,23.71,50.5,100358,0.0036,22.91,51.66,100329,0,22.9,56.12,100282,0
1499.127,23.76,49.69,100390,0.0032,23.21,53.23,100397,0,22.95,50.84,100385,0,23.46,47.19,100366,0,24.31,51.36,100290,0,23.47,61.78,100337,0.0071,23.71,50.57,100356,0.0036,22.91,51.43,100325,0,22.9,56.14,100277,0
1509.24196,23.76,49.57,100388,0.0032,23.21,53.16,100398,0,22.95,50.79,100383,0,23.45,47.32,100367,0,24.31,51.26,100289,0,23.47,61.8,100338,0,23.71,50.7,100357,0.0036,22.9,50.81,100321,0,22.9,56.17,100278,0
1519.35806,23.76,49.81,100388,0.0032,23.21,53.29,100397,0,22.95,50.78,100383,0,23.45,47.03,100364,0,24.3,51.24,100293,0,23.46,61.75,100339,0,23.71,50.55,100354,0.0036,22.91,51.38,100324,0,22.9,56.13,100280,0
1529.47483,23.75,49.89,100387,0.0032,23.21,53.16,100398,0,22.95,50.76,100383,0,23.45,47.08,100365,0,24.29,51.32,100290,0,23.46,61.79,100338,0,23.71,50.57,100353,0,22.9,51.69,100322,0,22.9,56.11,100277,0
1539.59093,23.75,49.73,100388,0.0032,23.21,53.18,100395,0,22.95,50.81,100381,0,23.45,47.02,100364,0,24.28,51.32,100290,0,23.46,61.77,100333,0,23.71,50.57,100352,0.0036,22.9,51.69,100324,0,22.9,56.14,100278,0
1549.70598,23.75,49.97,100384,0.0032,23.21,53.18,100394,0,22.95,50.79,100378,0,23.45,47.16,100367,0,24.28,51.35,100289,0,23.46,61.79,100337,0.0071,23.71,50.67,100354,0.0036,22.9,51.27,100323,0,22.9,56.14,100281,0
1559.82198,23.74,49.72,100386,0,23.21,53.13,100395,0,22.95,50.79,100383,0,23.44,47.11,100362,0,24.27,51.25,100294,0,23.46,61.79,100340,0,23.72,50.56,100355,0.0143,22.9,51.28,100323,0,22.9,56.14,100279,0
1569.93808,23.74,49.61,100386,0.0032,23.21,53.17,100394,0,22.95,50.8,100381,0,23.44,47.08,100362,0,24.26,51.38,100286,0,23.46,61.8,100335,0,23.71,50.58,100350,0.0036,22.91,51.42,100324,0,22.9,56.11,100281,0
1580.05418,23.73,49.78,100384,0.0032,23.21,53.15,100394,0,22.95,50.82,100381,0,23.43,46.86,100357,0,24.26,51.37,100287,0,23.46,61.84,100335,0,23.72,50.56,100352,0.0036,22.9,51.08,100325,0,22.9,56.14,100279,0
1590.1699,23.73,49.72,100386,0.0032,23.21,53.19,100394,0,22.95,50.8,100379,0,23.43,47.05,100367,0,24.25,51.33,100288,0,23.46,61.81,100336,0.0106,23.71,50.61,100351,0.0036,22.9,51.75,100322,0,22.9,56.18,100275,0
1600.28481,23.74,49.6,100387,0,23.2,53.17,100393,0,22.95,50.87,100379,0,23.43,47.14,100364,0,24.24,51.39,100288,0,23.46,61.78,100333,0.0071,23.72,50.57,100355,0.0143,22.9,51.54,100324,0,22.9,56.15,100277,0
1610.40091,23.73,49.74,100386,0,23.21,53.16,100393,0,22.95,50.81,100380,0,23.43,47.24,100362,0,24.23,51.33,100285,0,23.46,61.86,100335,0,23.72,50.6,100353,0.0143,22.9,50.84,100321,0,22.9,56.16,100277,0
1620.51687,23.72,49.75,100384,0.0032,23.2,53.17,100394,0,22.95,50.83,100381,0,23.43,47.04,100359,0,24.23,51.4,100288,0,23.46,61.83,100336,0.0071,23.71,50.55,100353,0.0143,22.9,51.6,100322,0,22.9,56.12,100281,0
1630.63287,23.72,49.78,100386,0.0032,23.2,53.18,100394,0,22.95,50.81,100384,0,23.42,47.05,100359,0,24.21,51.36,100290,0,23.46,61.8,100338,0.0106,23.71,50.56,100351,0.0143,22.9,51.1,100319,0,22.9,56.11,100274,0
1640.74897,23.72,49.75,100382,0.0032,23.2,53.15,100391,0,22.94,50.77,100375,0,23.42,47.09,100361,0,24.21,51.35,100288,0,23.45,61.8,100332,0.0071,23.71,50.54,100350,0.0036,22.9,51.91,100321,0,22.89,56.15,100274,0
1650.86507,23.71,50,100382,0.0032,23.2,53.25,100388,0,22.95,50.8,100377,0,23.42,47.23,100360,0,24.2,51.3,100283,0,23.46,61.78,100336,0,23.71,50.56,100349,0.0143,22.9,51.55,100319,0,22.9,56.14,100279,0
